CNO,START,END,ORGAN,CANCER,CANCER_TYPE
1,5596138,6758946,ovary,carcinoma,serous_carcinoma
1,5717138,5723563,haematopoietic_and_lymphoid_tissue,haematopoietic_neoplasm,acute_myeloid_leukaemia
1,5882043,5913893,pancreas,carcinoma,NS
1,5926658,6230852,pancreas,carcinoma,NS
1,5968049,6038583,large_intestine,carcinoma,adenocarcinoma
1,6006144,9926020,pancreas,carcinoma,NS
1,6070870,6863342,pancreas,carcinoma,NS
1,6124240,6751812,central_nervous_system,glioma,astrocytoma_Grade_IV
1,6167121,6560363,pancreas,carcinoma,NS
1,6233006,6331359,pancreas,carcinoma,NS
1,6285838,6693413,pancreas,carcinoma,NS
1,6332669,6553401,pancreas,carcinoma,NS
1,6343825,8442665,ovary,carcinoma,serous_carcinoma
1,6468628,7079257,lung,carcinoma,squamous_cell_carcinoma
1,6505671,6568950,large_intestine,carcinoma,adenocarcinoma
1,6612327,6615444,pancreas,carcinoma,NS
1,6612327,6615444,pancreas,carcinoma,NS
1,6615469,8685520,pancreas,carcinoma,NS
1,6615469,16452998,pancreas,carcinoma,NS
1,6694099,9704925,pancreas,carcinoma,NS
1,6959960,7200322,large_intestine,carcinoma,adenocarcinoma
1,7091586,7107665,lung,carcinoma,adenocarcinoma
1,7220970,9267587,large_intestine,carcinoma,adenocarcinoma
1,7478076,7555322,pancreas,carcinoma,NS
1,7557152,7584814,pancreas,carcinoma,NS
1,7561152,7584814,pancreas,carcinoma,NS
1,7570232,7580769,pancreas,carcinoma,NS
1,7575666,7580769,pancreas,carcinoma,NS
1,7575666,7580769,pancreas,carcinoma,NS
1,7590448,7850218,pancreas,carcinoma,NS
1,7825311,7859191,large_intestine,carcinoma,adenocarcinoma
1,7825330,7859191,large_intestine,carcinoma,adenocarcinoma
1,7826347,7859191,large_intestine,carcinoma,adenocarcinoma
1,7832212,7852919,large_intestine,carcinoma,adenocarcinoma
1,7832212,7851886,large_intestine,carcinoma,adenocarcinoma
1,7833430,7858135,large_intestine,carcinoma,adenocarcinoma
1,7845567,7880683,pancreas,carcinoma,NS
1,7847836,7859191,ovary,carcinoma,serous_carcinoma
1,7881780,26320914,pancreas,carcinoma,NS
1,7899658,10484851,central_nervous_system,glioma,astrocytoma_Grade_IV
1,7923009,8931149,large_intestine,carcinoma,adenocarcinoma
1,7927340,9166344,ovary,carcinoma,serous_carcinoma
1,7955894,8100173,pancreas,carcinoma,NS
1,7971079,8652153,liver,carcinoma,hepatocellular_carcinoma
1,8084355,8202993,urinary_tract,carcinoma,NS
1,8146689,10197612,pancreas,carcinoma,NS
1,8206326,8210935,pancreas,carcinoma,NS
1,8212425,17557178,pancreas,carcinoma,NS
1,8285125,8455712,pancreas,carcinoma,NS
1,8445142,8663535,ovary,carcinoma,serous_carcinoma
1,8596742,8832499,large_intestine,carcinoma,adenocarcinoma
1,8663821,10262545,ovary,carcinoma,serous_carcinoma
1,8690903,8834706,pancreas,carcinoma,NS
1,8741438,8787499,large_intestine,carcinoma,adenocarcinoma
1,8771452,8883518,ovary,carcinoma,serous_carcinoma
1,8839300,10232200,pancreas,carcinoma,NS
1,8902336,10512152,ovary,carcinoma,serous_carcinoma
1,9521036,10263147,large_intestine,carcinoma,adenocarcinoma
1,9533238,10209557,pancreas,carcinoma,NS
1,9567789,10195940,pancreas,carcinoma,NS
1,9699377,9890971,central_nervous_system,glioma,astrocytoma_Grade_IV
1,9704925,10750432,pancreas,carcinoma,NS
1,9708688,9713850,pancreas,carcinoma,NS
1,9714177,10071301,pancreas,carcinoma,NS
1,10092770,11790687,pancreas,carcinoma,NS
1,10218377,35639504,pancreas,carcinoma,NS
1,10233756,10342522,pancreas,carcinoma,NS
1,10342629,17818579,pancreas,carcinoma,NS
1,10483272,11930726,pancreas,carcinoma,NS
1,10484170,10644351,pancreas,carcinoma,NS
1,10573304,10633245,lung,carcinoma,squamous_cell_carcinoma
1,10907208,11018065,haematopoietic_and_lymphoid_tissue,haematopoietic_neoplasm,acute_myeloid_leukaemia
1,11118144,11832862,endometrium,carcinoma,endometrioid_carcinoma
1,11148197,11422737,pancreas,carcinoma,NS
1,11272529,11703843,pancreas,carcinoma,NS
1,11452291,11577093,large_intestine,carcinoma,adenocarcinoma
1,11703843,11733866,pancreas,carcinoma,NS
1,11713563,11721854,pancreas,carcinoma,NS
1,11733995,17523194,pancreas,carcinoma,NS
1,11794553,11872395,pancreas,carcinoma,NS
1,11824133,11915749,pancreas,carcinoma,NS
1,11873851,16479181,pancreas,carcinoma,NS
1,11933141,11955702,ovary,carcinoma,serous_carcinoma
1,11977158,14938803,pancreas,carcinoma,NS
1,12343086,14725970,endometrium,carcinoma,endometrioid_carcinoma
1,12564565,12650768,endometrium,carcinoma,endometrioid_carcinoma
1,12804107,13214448,breast,carcinoma,NS
1,12837634,13142231,pancreas,carcinoma,NS
1,12845863,12927856,endometrium,carcinoma,endometrioid_carcinoma
1,12868019,12921110,pancreas,carcinoma,NS
1,12899911,12921132,pancreas,carcinoma,NS
1,13176463,56243360,pancreas,carcinoma,NS
1,13178385,13802437,central_nervous_system,glioma,astrocytoma_Grade_IV
1,13384264,13776828,lung,carcinoma,adenocarcinoma
1,13546620,14380581,ovary,carcinoma,serous_carcinoma
1,13795449,15993372,large_intestine,carcinoma,adenocarcinoma
1,13803887,15097609,central_nervous_system,glioma,astrocytoma_Grade_IV
1,13818618,15080133,pancreas,carcinoma,NS
1,13973169,13993685,haematopoietic_and_lymphoid_tissue,haematopoietic_neoplasm,acute_myeloid_leukaemia
1,14192950,14346018,large_intestine,carcinoma,adenocarcinoma
1,14208571,14320502,pancreas,carcinoma,NS
1,14214348,14226409,large_intestine,carcinoma,adenocarcinoma
1,14275579,14281786,kidney,carcinoma,clear_cell_renal_cell_carcinoma
1,14366257,14368587,large_intestine,carcinoma,adenocarcinoma
1,14377914,14520264,breast,carcinoma,NS
1,14434858,14469986,large_intestine,carcinoma,adenocarcinoma
1,14439900,14477186,endometrium,carcinoma,endometrioid_carcinoma
1,14449771,14460986,large_intestine,carcinoma,adenocarcinoma
1,14449771,14460986,kidney,carcinoma,clear_cell_renal_cell_carcinoma
1,14449771,14463067,endometrium,carcinoma,endometrioid_carcinoma
1,14460643,14546876,lung,carcinoma,adenocarcinoma
1,14505595,14572576,large_intestine,carcinoma,adenocarcinoma
1,14506695,14520873,ovary,carcinoma,serous_carcinoma
1,14726096,15045765,endometrium,carcinoma,endometrioid_carcinoma
1,14740817,14870694,ovary,carcinoma,serous_carcinoma
1,14782255,14790432,central_nervous_system,glioma,astrocytoma_Grade_IV
1,14879491,15153656,pancreas,carcinoma,NS
1,14909769,14934649,large_intestine,carcinoma,adenocarcinoma
1,14917817,14934649,large_intestine,carcinoma,adenocarcinoma
1,15010447,15297175,ovary,carcinoma,serous_carcinoma
1,15027535,15269441,ovary,carcinoma,serous_carcinoma
1,15047171,15516408,endometrium,carcinoma,endometrioid_carcinoma
1,15050524,15231170,large_intestine,carcinoma,adenocarcinoma
1,15080560,17563612,pancreas,carcinoma,NS
1,15099462,15354296,central_nervous_system,glioma,astrocytoma_Grade_IV
1,15099722,15142300,large_intestine,carcinoma,adenocarcinoma
1,15130227,15395881,pancreas,carcinoma,NS
1,15154825,15307856,ovary,carcinoma,serous_carcinoma
1,15172626,15304768,ovary,carcinoma,serous_carcinoma
1,15189088,15192916,haematopoietic_and_lymphoid_tissue,haematopoietic_neoplasm,acute_myeloid_leukaemia
1,15189088,15192916,haematopoietic_and_lymphoid_tissue,haematopoietic_neoplasm,acute_myeloid_leukaemia
1,15202204,15309950,pancreas,carcinoma,NS
1,15329987,18259243,lung,carcinoma,adenocarcinoma
1,15354399,15668210,central_nervous_system,glioma,astrocytoma_Grade_IV
1,15424731,15541537,pancreas,carcinoma,NS
1,15507952,15516408,breast,carcinoma,NS
1,15507952,15513575,breast,carcinoma,NS
1,15516752,16488328,endometrium,carcinoma,endometrioid_carcinoma
1,15585613,15745380,pancreas,carcinoma,NS
1,15668276,15699427,central_nervous_system,glioma,astrocytoma_Grade_IV
1,15801495,16591180,endometrium,carcinoma,endometrioid_carcinoma
1,15829187,16091458,pancreas,carcinoma,NS
1,15857559,16075128,ovary,carcinoma,serous_carcinoma
1,16013985,16059694,ovary,carcinoma,serous_carcinoma
1,16244415,16591180,ovary,carcinoma,serous_carcinoma
1,16265214,16797756,pancreas,carcinoma,NS
1,16341525,16376278,pancreas,carcinoma,NS
1,16368403,16575030,large_intestine,carcinoma,adenocarcinoma
1,16455143,16460541,pancreas,carcinoma,NS
1,16464673,16482976,pancreas,carcinoma,NS
1,16484982,16486392,pancreas,carcinoma,NS
1,16486793,17395281,pancreas,carcinoma,NS
1,16492021,17332012,pancreas,carcinoma,NS
1,16593369,16807224,endometrium,carcinoma,endometrioid_carcinoma
1,16802890,16952993,pancreas,carcinoma,NS
1,16802890,16847832,pancreas,carcinoma,NS
1,17005734,17017078,lung,carcinoma,squamous_cell_carcinoma
1,17009604,17051496,pancreas,carcinoma,NS
1,17123370,17281235,pancreas,carcinoma,NS
1,17225296,17674821,pancreas,carcinoma,NS
1,17270289,17674821,pancreas,carcinoma,NS
1,17319287,20390322,pancreas,carcinoma,NS
1,17331676,23108200,pancreas,carcinoma,NS
1,17336521,17340878,pancreas,carcinoma,NS
1,17342783,17761110,pancreas,carcinoma,NS
1,17349798,17545548,pancreas,carcinoma,NS
1,17355239,17382562,ovary,carcinoma,serous_carcinoma
1,17372397,17534586,endometrium,carcinoma,endometrioid_carcinoma
1,17395480,20057205,pancreas,carcinoma,NS
1,17403807,17492790,haematopoietic_and_lymphoid_tissue,haematopoietic_neoplasm,acute_myeloid_leukaemia
1,17523806,18412381,pancreas,carcinoma,NS
1,17549820,17550601,pancreas,carcinoma,NS
1,17551005,17590922,large_intestine,carcinoma,adenocarcinoma
1,17559196,17707601,pancreas,carcinoma,NS
1,17563967,17616259,pancreas,carcinoma,NS
1,17591077,17692928,large_intestine,carcinoma,adenocarcinoma
1,17596825,17598684,pancreas,carcinoma,NS
1,17619181,19651102,pancreas,carcinoma,NS
1,17681277,24798383,pancreas,carcinoma,NS
1,17681277,18040004,pancreas,carcinoma,NS
1,17707739,23684977,pancreas,carcinoma,NS
1,17767916,19205672,pancreas,carcinoma,NS
1,17820221,18807137,pancreas,carcinoma,NS
1,17836695,17976560,lung,carcinoma,adenocarcinoma
1,17872110,18099283,pancreas,carcinoma,NS
1,17927705,18101865,pancreas,carcinoma,NS
1,17972321,18099283,pancreas,carcinoma,NS
1,18006107,18018255,pancreas,carcinoma,NS
1,18013602,18019524,pancreas,carcinoma,NS
1,18019207,18179816,pancreas,carcinoma,NS
1,18083431,19095101,endometrium,carcinoma,endometrioid_carcinoma
1,18090975,18177549,large_intestine,carcinoma,adenocarcinoma
1,18110701,21031983,pancreas,carcinoma,NS
1,18112065,18124527,large_intestine,carcinoma,adenocarcinoma
1,18165170,18510985,large_intestine,carcinoma,adenocarcinoma
1,18169021,18246140,lung,carcinoma,squamous_cell_carcinoma
1,18203380,18263820,large_intestine,carcinoma,adenocarcinoma
1,18227960,18281918,endometrium,carcinoma,endometrioid_carcinoma
1,18232574,18346165,large_intestine,carcinoma,adenocarcinoma
1,18232574,18271363,endometrium,carcinoma,endometrioid_carcinoma
1,18241309,18278422,large_intestine,carcinoma,adenocarcinoma
1,18281918,18375049,large_intestine,carcinoma,adenocarcinoma
1,18290341,18325257,large_intestine,carcinoma,adenocarcinoma
1,18325257,18346165,large_intestine,carcinoma,adenocarcinoma
1,18339535,18349764,endometrium,carcinoma,endometrioid_carcinoma
1,18381437,18804117,urinary_tract,carcinoma,NS
1,18414524,31438872,pancreas,carcinoma,NS
1,18468789,18623183,large_intestine,carcinoma,adenocarcinoma
1,18516703,18563889,large_intestine,carcinoma,adenocarcinoma
1,18516703,18576713,large_intestine,carcinoma,adenocarcinoma
1,18533281,18572901,large_intestine,carcinoma,adenocarcinoma
1,18534363,18572901,large_intestine,carcinoma,adenocarcinoma
1,18664626,20476528,pancreas,carcinoma,NS
1,18687275,18696215,pancreas,carcinoma,NS
1,18807536,18808526,pancreas,carcinoma,NS
1,18809916,19199221,pancreas,carcinoma,NS
1,18945211,19174747,central_nervous_system,glioma,astrocytoma_Grade_IV
1,19096257,19391177,endometrium,carcinoma,endometrioid_carcinoma
1,19199400,26756856,pancreas,carcinoma,NS
1,19206621,25908241,pancreas,carcinoma,NS
1,19512513,20171920,ovary,carcinoma,serous_carcinoma
1,19548981,20473614,ovary,carcinoma,serous_carcinoma
1,19646765,20553723,ovary,carcinoma,serous_carcinoma
1,19651102,19663446,pancreas,carcinoma,NS
1,19652063,19663446,pancreas,carcinoma,NS
1,19665132,21035578,pancreas,carcinoma,NS
1,19749850,19765518,kidney,carcinoma,clear_cell_renal_cell_carcinoma
1,19801268,19823367,large_intestine,carcinoma,adenocarcinoma
1,19872645,20049420,ovary,carcinoma,serous_carcinoma
1,20014739,20142681,pancreas,carcinoma,NS
1,20060965,28309722,pancreas,carcinoma,NS
1,20149058,20172956,pancreas,carcinoma,NS
1,20173036,23852899,ovary,carcinoma,serous_carcinoma
1,20246876,20250799,pancreas,carcinoma,NS
1,20392941,20396733,pancreas,carcinoma,NS
1,20396951,27937456,pancreas,carcinoma,NS
1,20503183,20894930,urinary_tract,carcinoma,NS
1,20515739,20717763,pancreas,carcinoma,NS
1,20553870,20572687,ovary,carcinoma,serous_carcinoma
1,20553870,20844245,haematopoietic_and_lymphoid_tissue,haematopoietic_neoplasm,acute_myeloid_leukaemia
1,20572894,20685490,ovary,carcinoma,serous_carcinoma
1,20821965,22494791,pancreas,carcinoma,NS
1,20895721,22473658,urinary_tract,carcinoma,NS
1,20900123,21688141,pancreas,carcinoma,NS
1,20915418,20915701,pancreas,carcinoma,NS
1,21032041,21180181,pancreas,carcinoma,NS
1,21036942,21448682,pancreas,carcinoma,NS
1,21036942,21448682,pancreas,carcinoma,NS
1,21036942,21517342,pancreas,carcinoma,NS
1,21050958,21490160,pancreas,carcinoma,NS
1,21163698,21514770,haematopoietic_and_lymphoid_tissue,haematopoietic_neoplasm,acute_myeloid_leukaemia
1,21191163,21490160,pancreas,carcinoma,NS
1,21450782,21541735,pancreas,carcinoma,NS
1,21450782,32371523,pancreas,carcinoma,NS
1,21522974,45569347,pancreas,carcinoma,NS
1,21522974,21551457,pancreas,carcinoma,NS
1,21522974,21596796,pancreas,carcinoma,NS
1,21544247,21551614,pancreas,carcinoma,NS
1,21551550,21571475,pancreas,carcinoma,NS
1,21573855,48549673,pancreas,carcinoma,NS
1,21682435,21766452,liver,carcinoma,hepatocellular_carcinoma
1,21689366,53681782,pancreas,carcinoma,NS
1,21824108,21866625,ovary,carcinoma,serous_carcinoma
1,21917234,22028140,ovary,carcinoma,serous_carcinoma
1,21974009,22409156,ovary,carcinoma,serous_carcinoma
1,22198190,22445991,pancreas,carcinoma,NS
1,22475816,23498024,urinary_tract,carcinoma,NS
1,22549135,22629057,pancreas,carcinoma,NS
1,22649994,22831147,large_intestine,carcinoma,adenocarcinoma
1,22688885,46673924,pancreas,carcinoma,NS
1,22708797,23110811,ovary,carcinoma,serous_carcinoma
1,22730085,24023265,pancreas,carcinoma,NS
1,23023414,23050497,large_intestine,carcinoma,adenocarcinoma
1,23045943,23092066,large_intestine,carcinoma,adenocarcinoma
1,23109291,45984353,pancreas,carcinoma,NS
1,23112369,23422692,ovary,carcinoma,serous_carcinoma
1,23312025,23390299,pancreas,carcinoma,NS
1,23409538,24505121,urinary_tract,carcinoma,NS
1,23424649,23710475,ovary,carcinoma,serous_carcinoma
1,23685037,23767669,pancreas,carcinoma,NS
1,23711376,24667423,ovary,carcinoma,serous_carcinoma
1,23778362,24885472,pancreas,carcinoma,NS
1,23864455,24937258,ovary,carcinoma,serous_carcinoma
1,24027218,24088128,pancreas,carcinoma,NS
1,24043985,24416133,pancreas,carcinoma,NS
1,24379601,28390596,pancreas,carcinoma,NS
1,24715828,24755438,ovary,carcinoma,serous_carcinoma
1,24807186,25573797,pancreas,carcinoma,NS
1,24886818,25022055,pancreas,carcinoma,NS
1,24990435,25069241,ovary,carcinoma,serous_carcinoma
1,25022852,34271055,pancreas,carcinoma,NS
1,25184244,25401635,pancreas,carcinoma,NS
1,25695608,36511926,pancreas,carcinoma,NS
1,25914219,26181324,pancreas,carcinoma,NS
1,25928935,26110236,pancreas,carcinoma,NS
1,26040514,26450101,pancreas,carcinoma,NS
1,26185015,27688633,pancreas,carcinoma,NS
1,26185015,26475521,pancreas,carcinoma,NS
1,26232081,26727205,pancreas,carcinoma,NS
1,26324520,26699157,pancreas,carcinoma,NS
1,26351382,26431337,pancreas,carcinoma,NS
1,26411918,26526439,large_intestine,carcinoma,adenocarcinoma
1,26474439,27089566,urinary_tract,carcinoma,NS
1,26511700,26719264,pancreas,carcinoma,NS
1,26709040,39255293,pancreas,carcinoma,NS
1,26719115,27031943,pancreas,carcinoma,NS
1,26758602,26884864,pancreas,carcinoma,NS
1,26886959,28299346,pancreas,carcinoma,NS
1,26899444,27127935,ovary,carcinoma,serous_carcinoma
1,26909666,26929002,pancreas,carcinoma,NS
1,26909666,28014256,pancreas,carcinoma,NS
1,26940681,28331624,pancreas,carcinoma,NS
1,27159977,27666378,pancreas,carcinoma,NS
1,27595862,27703045,large_intestine,carcinoma,adenocarcinoma
1,27690644,28390596,pancreas,carcinoma,NS
1,27943396,30346741,pancreas,carcinoma,NS
1,28309722,28648893,pancreas,carcinoma,NS
1,28309976,29491088,pancreas,carcinoma,NS
1,28344980,29037793,pancreas,carcinoma,NS
1,28416855,28990922,pancreas,carcinoma,NS
1,28444074,29545113,pancreas,carcinoma,NS
1,28649402,29170495,pancreas,carcinoma,NS
1,29004746,29289616,pancreas,carcinoma,NS
1,29172715,29678592,pancreas,carcinoma,NS
1,29190138,30516776,pancreas,carcinoma,NS
1,29319480,31683500,pancreas,carcinoma,NS
1,29503214,29870454,pancreas,carcinoma,NS
1,29575605,30190547,endometrium,carcinoma,endometrioid_carcinoma
1,29678774,31402148,pancreas,carcinoma,NS
1,29754708,29761294,large_intestine,carcinoma,adenocarcinoma
1,29766149,29869978,large_intestine,carcinoma,adenocarcinoma
1,29788993,29876810,pancreas,carcinoma,NS
1,30029261,30029261,pancreas,carcinoma,NS
1,30078751,53830014,ovary,carcinoma,serous_carcinoma
1,30164265,33353693,NS,NS,NS
1,30174610,30215712,haematopoietic_and_lymphoid_tissue,haematopoietic_neoplasm,acute_myeloid_leukaemia
1,30182753,30223327,haematopoietic_and_lymphoid_tissue,haematopoietic_neoplasm,acute_myeloid_leukaemia
1,30186585,30225125,haematopoietic_and_lymphoid_tissue,haematopoietic_neoplasm,acute_myeloid_leukaemia
1,30348274,30894530,pancreas,carcinoma,NS
1,30353089,30384611,large_intestine,carcinoma,adenocarcinoma
1,30393790,30545722,ovary,carcinoma,serous_carcinoma
1,30532738,30557313,lung,carcinoma,squamous_cell_carcinoma
1,30532849,31027266,large_intestine,carcinoma,adenocarcinoma
1,30549915,31306501,ovary,carcinoma,serous_carcinoma
1,30581567,31907510,pancreas,carcinoma,NS
1,30585214,30627730,large_intestine,carcinoma,adenocarcinoma
1,30711992,30769307,large_intestine,carcinoma,adenocarcinoma
1,30726693,30734036,large_intestine,carcinoma,adenocarcinoma
1,30843915,30887646,large_intestine,carcinoma,adenocarcinoma
1,30898743,65004791,pancreas,carcinoma,NS
1,30918453,30925560,haematopoietic_and_lymphoid_tissue,haematopoietic_neoplasm,acute_myeloid_leukaemia
1,30918567,30988799,large_intestine,carcinoma,adenocarcinoma
1,30976433,31201340,ovary,carcinoma,serous_carcinoma
1,31034285,31354077,ovary,carcinoma,serous_carcinoma
1,31059546,31068252,breast,carcinoma,NS
1,31064146,31080835,lung,carcinoma,squamous_cell_carcinoma
1,31077465,31090461,breast,carcinoma,NS
1,31097552,31523851,endometrium,carcinoma,endometrioid_carcinoma
1,31148956,31306250,endometrium,carcinoma,endometrioid_carcinoma
1,31163876,31367929,endometrium,carcinoma,endometrioid_carcinoma
1,31184857,33673559,breast,carcinoma,ductal_carcinoma
1,31201779,31354792,ovary,carcinoma,serous_carcinoma
1,31238496,31430432,ovary,carcinoma,serous_carcinoma
1,31254975,31258699,pancreas,carcinoma,NS
1,31354380,32455283,ovary,carcinoma,serous_carcinoma
1,31357700,33914198,pancreas,carcinoma,NS
1,31372734,31419887,endometrium,carcinoma,endometrioid_carcinoma
1,31403711,33601552,pancreas,carcinoma,NS
1,31461438,31682312,pancreas,carcinoma,NS
1,31511004,31730086,large_intestine,carcinoma,adenocarcinoma
1,31520265,31660476,endometrium,carcinoma,endometrioid_carcinoma
1,31562164,32022031,pancreas,carcinoma,NS
1,31683500,55182300,pancreas,carcinoma,NS
1,31687659,32084861,pancreas,carcinoma,NS
1,31692035,31731291,large_intestine,carcinoma,adenocarcinoma
1,31701764,31722621,large_intestine,carcinoma,adenocarcinoma
1,31890026,32177995,central_nervous_system,glioma,astrocytoma_Grade_IV
1,31901652,32815033,endometrium,carcinoma,endometrioid_carcinoma
1,31915529,32204063,lung,carcinoma,adenocarcinoma
1,31921862,32145023,endometrium,carcinoma,endometrioid_carcinoma
1,31949720,34867368,pancreas,carcinoma,NS
1,31955351,35251735,ovary,carcinoma,serous_carcinoma
