CNO,START,END,CYTOBAND,GSYM,GENE_ALIAS,,GENE_NAME,GENE_TYPE,GPATTERN
13,39500000,52200000,13q14,TRIM13,CAR|DLEU5|LEU5|RFP2|RNF77,HGNC:9976|MIM:605661|Ensembl:ENSG00000204977|HPRD:10414|Vega:OTTHUMG00000016926,tripartite motif containing 13,protein-coding,B-cell chronic lymphocytic leukemia tumor suppressor Leu5|CLL-associated RING finger|E3 ubiquitin-protein ligase TRIM13|RING finger protein 77|leukemia-associated protein 5|putative tumor suppressor RFP2|ret finger protein 2|tripartite motif protein 13|tripartite motif-containing 13|tripartite motif-containing protein 13
17,35600000,37800000,17q21.2,EIF1,A121|EIF-1|EIF1A|ISO1|SUI1,HGNC:3249|Ensembl:ENSG00000173812|HPRD:15449|Vega:OTTHUMG00000133492,eukaryotic translation initiation factor 1,protein-coding,protein translation factor SUI1 homolog|sui1iso1
9,19900000,32800000,9p21,TOPORS,LUN|P53BP3|RP31|TP53BPL,HGNC:21653|MIM:609507|Ensembl:ENSG00000197579|HPRD:11642|Vega:OTTHUMG00000019743,"topoisomerase I binding, arginine/serine-rich, E3 ubiquitin protein ligase",protein-coding,E3 ubiquitin-protein ligase Topors|SUMO1-protein E3 ligase Topors|topoisomerase I-binding RING finger protein|tumor suppressor p53-binding protein 3
3,43600000,51400000,3p21.3,CTDSPL,C3orf8|HYA22|PSR1|RBSP3|SCP3,HGNC:16890|MIM:608592|Ensembl:ENSG00000144677|Vega:OTTHUMG00000155942,"CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase-like",protein-coding,CTD small phosphatase-like protein|CTDSP-like|NIF-like protein|NLI-interacting factor 1|RB protein serine phosphatase from chromosome 3|carboxy-terminal domain RNA polymerase II polypeptide A small phosphatase 3|nuclear LIM interactor-interacting factor 1|small C-terminal domain phosphatase 3|small CTD phosphatase 3
13,77800000,86500000,13q31.1,SPRY2,hSPRY2,HGNC:11270|MIM:602466|Ensembl:ENSG00000136158|HPRD:03916|Vega:OTTHUMG00000017140,sprouty homolog 2 (Drosophila),protein-coding,protein sprouty homolog 2|sprouty 2|spry-2
6,36800000,40600000,6p21.2,CDKN1A,CAP20|CDKN1|CIP1|MDA-6|P21|SDI1|WAF1|p21CIP1,HGNC:1784|MIM:116899|Ensembl:ENSG00000124762|HPRD:00298|Vega:OTTHUMG00000014603,"cyclin-dependent kinase inhibitor 1A (p21, Cip1)",protein-coding,CDK-interacting protein 1|CDK-interaction protein 1|DNA synthesis inhibitor|cyclin-dependent kinase inhibitor 1|melanoma differentiation associated protein 6|wild-type p53-activated fragment 1
11,63100000,76700000,11q13,CDK2AP2,DOC-1R|p14,HGNC:30833|Ensembl:ENSG00000167797|HPRD:13242|Vega:OTTHUMG00000167676,cyclin-dependent kinase 2 associated protein 2,protein-coding,CDK2-associated protein 2|DOC-1-related protein|cyclin-dependent kinase 2-associated protein 2|tumor suppressor deleted in oral cancer related 1|tumor suppressor deleted in oral cancer-related 1
1,0,7100000,1p36.3,UBE4B,E4|HDNB1|UBOX3|UFD2|UFD2A,HGNC:12500|MIM:613565|Ensembl:ENSG00000130939|HPRD:11659|Vega:OTTHUMG00000001797,ubiquitination factor E4B,protein-coding,"UFD2A-III/UBE4B-III splice isoform|homologous to yeast UFD2|homozygously deleted in neuroblastoma 1|homozygously deleted in neuroblastoma-1|ubiquitin conjugation factor E4 B|ubiquitin fusion degradation protein 2|ubiquitin-fusion degradation protein 2|ubiquitination factor E4B (UFD2 homolog, yeast)|ubiquitination factor E4B (homologous to yeast UFD2)"
11,0,2800000,11p15.5,CDKN1C,BWCR|BWS|KIP2|WBS|p57,HGNC:1786|MIM:600856|Ensembl:ENSG00000129757|HPRD:02913|Vega:OTTHUMG00000010040,"cyclin-dependent kinase inhibitor 1C (p57, Kip2)",protein-coding,cyclin-dependent kinase inhibitor 1C|cyclin-dependent kinase inhibitor p57|p57Kip2
9,19900000,32800000,9p21,CDKN2A,ARF|CDK4I|CDKN2|CMM2|INK4|INK4A|MLM|MTS-1|MTS1|P14|P14ARF|P16|P16-INK4A|P16INK4|P16INK4A|P19|P19ARF|TP16,HGNC:1787|MIM:600160|Ensembl:ENSG00000147889|HPRD:02542|Vega:OTTHUMG00000019686,"cyclin-dependent kinase inhibitor 2A (melanoma, p16, inhibits CDK4)",protein-coding,CDK4 inhibitor p16-INK4|cell cycle negative regulator beta|cyclin-dependent kinase 4 inhibitor A|cyclin-dependent kinase inhibitor 2A|multiple tumor suppressor 1
19,0,6900000,19p13.3,APC2,APCL,HGNC:24036|MIM:612034|Ensembl:ENSG00000115266|HPRD:09802,adenomatosis polyposis coli 2,protein-coding,adenomatous polyposis coli like|adenomatous polyposis coli protein 2
9,19900000,32800000,9p21,CDKN2B,CDK4I|INK4B|MTS2|P15|TP15|p15INK4b,HGNC:1788|MIM:600431|Ensembl:ENSG00000147883|HPRD:02696|Vega:OTTHUMG00000019691,"cyclin-dependent kinase inhibitor 2B (p15, inhibits CDK4)",protein-coding,CDK inhibitory protein|CDK4B inhibitor|MTS-2|cyclin-dependent kinase 4 inhibitor B|cyclin-dependent kinases 4 and 6 binding protein|multiple tumor suppressor 2|p14-INK4b|p14_CDK inhibitor|p14_INK4B|p15 CDK inhibitor|p15-INK4b|p15_INK4B
13,48900000,52200000,13q14.3,DLEU1,BCMS|DLB1|DLEU2|LEU1|LEU2|LINC00021|NCRNA00021|XTP6,HGNC:13747|MIM:605765|HPRD:16150,deleted in lymphocytic leukemia 1 (non-protein coding),miscRNA,-
1,51300000,60900000,1p32,CDKN2C,INK4C|p18|p18-INK4C,HGNC:1789|MIM:603369|Ensembl:ENSG00000123080|HPRD:04534|Vega:OTTHUMG00000008046,"cyclin-dependent kinase inhibitor 2C (p18, inhibits CDK4)",protein-coding,CDK6 inhibitor p18|cyclin-dependent inhibitor|cyclin-dependent kinase 4 inhibitor C|cyclin-dependent kinase 6 inhibitor p18|p18-INK6
19,0,19800000,19p13,CDKN2D,INK4D|p19|p19-INK4D,HGNC:1790|MIM:600927|Ensembl:ENSG00000129355|HPRD:02957,"cyclin-dependent kinase inhibitor 2D (p19, inhibits CDK4)",protein-coding,"CDK inhibitor p19INK4d|cell cycle inhibitor, Nur77 associating protein|cyclin-dependent kinase 4 inhibitor D|cyclin-dependent kinase 4 inhibitor D p19|inhibitor of cyclin-dependent kinase 4d"
11,0,21600000,11p15,MRVI1,IRAG|JAW1L,HGNC:7237|MIM:604673|Ensembl:ENSG00000072952|HPRD:05242|Vega:OTTHUMG00000165773,murine retrovirus integration site 1 homolog,protein-coding,"IP3R-associated cGMP kinase substrate|JAW1-related protein MRVI1|inositol 1,4,5-triphosphate receptor-associated cGMP kinase substrate|protein MRVI1"
8,12700000,19100000,8p22,DLC1,ARHGAP7|HP|STARD12|p122-RhoGAP,HGNC:2897|MIM:604258|Ensembl:ENSG00000164741|HPRD:05035|Vega:OTTHUMG00000090825,deleted in liver cancer 1,protein-coding,Rho-GTPase-activating protein 7|START domain-containing protein 12|StAR-related lipid transfer (START) domain containing 12|deleted in liver cancer 1 protein|deleted in liver cancer 1 variant 2|rho GTPase-activating protein 7|rho-type GTPase-activating protein 7
8,140000000,146274826,8q24.3,NDRG1,CAP43|CMT4D|DRG1|GC4|HMSNL|NDR1|NMSL|PROXY1|RIT42|RTP|TARG1|TDD5,HGNC:7679|MIM:605262|Ensembl:ENSG00000104419|HPRD:05586|Vega:OTTHUMG00000164441,N-myc downstream regulated 1,protein-coding,DRG-1|N-myc downstream-regulated gene 1 protein|differentiation-related gene 1 protein|nickel-specific induction protein Cap43|protein NDRG1|protein regulated by oxygen-1|reducing agents and tunicamycin-responsive protein|tunicamycin-responsive protein
11,63100000,76700000,11q13,YAP1,YAP|YAP2|YAP65|YKI,HGNC:16262|MIM:606608|Ensembl:ENSG00000137693|HPRD:09424|Vega:OTTHUMG00000167322,Yes-associated protein 1,protein-coding,65 kDa Yes-associated protein|yes-associated protein 2|yes-associated protein beta|yes-associated protein delta|yorkie homolog
11,67100000,69200000,11q13.2,RBM14,COAA|PSP2|SIP|SYTIP1|TMEM137,HGNC:14219|MIM:612409|Ensembl:ENSG00000239306|HPRD:11485|Vega:OTTHUMG00000140380,RNA binding motif protein 14,protein-coding,RNA-binding protein 14|RRM-containing coactivator activator/modulator|SYT-interacting protein|paraspeckle protein 2|synaptotagmin-interacting protein|transmembrane protein 137
1,241700000,247249719,1q44-qter,ZNF238,C2H2-171|RP58|TAZ-1|ZBTB18,HGNC:13030|MIM:608433|Ensembl:ENSG00000179456|HPRD:12231|Vega:OTTHUMG00000040013,zinc finger protein 238,protein-coding,58 kDa repressor protein|transcriptional repressor RP58|translin-associated zinc finger protein 1|zinc finger and BTB domain-containing protein 18|zinc finger protein C2H2-171
17,35600000,37800000,17q21.2,HOXB13,PSGD,HGNC:5112|MIM:604607|Ensembl:ENSG00000159184|HPRD:05210|Vega:OTTHUMG00000159900,homeobox B13,protein-coding,homeo box B13|homeobox protein Hox-B13
19,37100000,43400000,19q13.1,CEBPA,C/EBP-alpha|CEBP,HGNC:1833|MIM:116897|Ensembl:ENSG00000245848|HPRD:00296|Vega:OTTHUMG00000161461,"CCAAT/enhancer binding protein (C/EBP), alpha",protein-coding,CCAAT/enhancer-binding protein alpha|c/EBP alpha
17,0,3600000,17p13.3,MYBBP1A,P160|PAP2,HGNC:7546|MIM:604885|Ensembl:ENSG00000132382|HPRD:05349|Vega:OTTHUMG00000090747,MYB binding protein (P160) 1a,protein-coding,myb-binding protein 1A|p53-activated protein-2
8,38500000,45200000,8p11.2-p11.1,CEBPD,C/EBP-delta|CELF|CRP3|NF-IL6-beta,HGNC:1835|MIM:116898|Ensembl:ENSG00000221869|HPRD:00297|Vega:OTTHUMG00000162290,"CCAAT/enhancer binding protein (C/EBP), delta",protein-coding,CCAAT/enhancer-binding protein delta|c/EBP delta|nuclear factor NF-IL6-beta
11,16100000,21600000,11p15.1,HTATIP2,CC3|SDR44U1|TIP30,HGNC:16637|MIM:605628|Ensembl:ENSG00000109854|HPRD:09288|Vega:OTTHUMG00000166015,"HIV-1 Tat interactive protein 2, 30kDa",protein-coding,"30 kDa HIV-1 TAT-interacting protein|HIV-1 TAT-interactive protein 2|Tat-interacting protein (30kD)|oxidoreductase HTATIP2|short chain dehydrogenase/reductase family 44U, member 1"
11,0,2800000,11p15.5,TRIM3,BERP|HAC1|RNF22|RNF97,HGNC:10064|MIM:605493|Ensembl:ENSG00000110171|Vega:OTTHUMG00000133405,tripartite motif containing 3,protein-coding,RING finger protein 97|brain expressed ring finger|brain-expressed RING finger protein|ring finger protein 22|tripartite motif protein TRIM3|tripartite motif-containing 3|tripartite motif-containing protein 3
15,70400000,76100000,15q24,ARID3B,BDP|DRIL2,HGNC:14350|MIM:612457|Ensembl:ENSG00000179361|HPRD:09806|Vega:OTTHUMG00000141321,AT rich interactive domain 3B (BRIGHT-like),protein-coding,ARID domain-containing protein 3B|AT rich interactive domain 3B (BRIGHT- like)|AT-rich interactive domain-containing protein 3B|bright and dead ringer protein|bright-like protein
1,142400000,148000000,1q21.1,TXNIP,EST01027|HHCPA78|THIF|VDUP1,HGNC:16952|MIM:606599|Ensembl:ENSG00000117289|HPRD:05964|Vega:OTTHUMG00000013755,thioredoxin interacting protein,protein-coding,"thioredoxin binding protein 2|thioredoxin-binding protein 2|thioredoxin-interacting protein|upregulated by 1,25-dihydroxyvitamin D-3|vitamin D3 up-regulated protein 1"
22,27900000,30500000,22q12.2,RASL10A,RRP22,HGNC:16954|MIM:602220|Ensembl:ENSG00000100276|HPRD:03744|Vega:OTTHUMG00000151106,"RAS-like, family 10, member A",protein-coding,RAS-related on chromosome 22|ras-like protein RRP22|ras-like protein family member 10A|ras-related protein on chromosome 22
3,43600000,51400000,3p21.3,NPRL2,NPR2|NPR2L|TUSC4,HGNC:24969|MIM:607072|Ensembl:ENSG00000114388|HPRD:06147|Vega:OTTHUMG00000156864,nitrogen permease regulator-like 2 (S. cerevisiae),protein-coding,2810446G01Rik|G21 protein|NPR2-like protein|gene 21 protein|homologous to yeast nitrogen permease (candidate tumor suppressor)|nitrogen permease regulator 2-like protein|tumor suppressor candidate 4
19,37100000,43400000,19q13.1,SPINT2,DIAR3|HAI-2|HAI2|Kop|PB,HGNC:11247|MIM:605124|Ensembl:ENSG00000167642|HPRD:05495,"serine peptidase inhibitor, Kunitz type, 2",protein-coding,"hepatocyte growth factor activator inhibitor type 2|kunitz-type protease inhibitor 2|placental bikunin|serine protease inhibitor, Kunitz type, 2"
16,56700000,73300000,16q21-q22.3,CTCF,-,HGNC:13723|MIM:604167|Ensembl:ENSG00000102974|HPRD:05005|Vega:OTTHUMG00000137539,CCCTC-binding factor (zinc finger protein),protein-coding,11 zinc finger transcriptional repressor|11-zinc finger protein|CTCFL paralog|transcriptional repressor CTCF
5,58900000,73300000,5q12.1-q13.2,PLK2,SNK|hPlk2|hSNK,HGNC:19699|MIM:607023|Ensembl:ENSG00000145632|HPRD:06118|Vega:OTTHUMG00000097047,polo-like kinase 2,protein-coding,PLK-2|serine/threonine-protein kinase PLK2|serine/threonine-protein kinase SNK|serum-inducible kinase
6,40600000,45200000,6p21.1,FRS3,FRS2B|FRS2beta|SNT-2|SNT2,HGNC:16970|MIM:607744|Ensembl:ENSG00000137218|HPRD:06373|Vega:OTTHUMG00000014686,fibroblast growth factor receptor substrate 3,protein-coding,FGFR substrate 3|FGFR-signaling adaptor SNT2|FRS2-beta|suc1-associated neurotrophic factor target 2 (FGFR signalling adaptor)
19,43400000,47800000,19q13.2,CEACAM7,CEA|CGM2,HGNC:1819|Ensembl:ENSG00000007306|HPRD:07629|Vega:OTTHUMG00000151063,carcinoembryonic antigen-related cell adhesion molecule 7,protein-coding,carcinoembryonic antigen CGM2|carcinoembryonic antigen gene family member 2
20,33900000,37100000,20q11.23,BLCAP,BC10,HGNC:1055|MIM:613110|Ensembl:ENSG00000166619|HPRD:16552|Vega:OTTHUMG00000032419,bladder cancer associated protein,protein-coding,bladder cancer 10 kDa protein|bladder cancer related protein (10kD)|bladder cancer-associated protein
9,89600000,93000000,9q22.1-q22.2,GADD45G,CR6|DDIT2|GADD45gamma|GRP17,HGNC:4097|MIM:604949|Ensembl:ENSG00000130222|HPRD:05383|Vega:OTTHUMG00000020187,"growth arrest and DNA-damage-inducible, gamma",protein-coding,"DDIT-2|DNA damage-inducible transcript 2 protein|GADD45-gamma|cytokine-responsive protein CR6|gadd-related protein, 17 kD|growth arrest and DNA damage-inducible protein GADD45 gamma"
1,197500000,212100000,1q32,IL24,C49A|FISP|IL10B|MDA7|MOB5|ST16,HGNC:11346|MIM:604136|Ensembl:ENSG00000162892|HPRD:04995|Vega:OTTHUMG00000036459,interleukin 24,protein-coding,IL-4-induced secreted protein|interleukin-24|melanocyte-associated Mda-7|melanoma differentiation-associated gene 7 protein|suppression of tumorigenicity 16 (melanoma differentiation)
12,74100000,78700000,12q21.2,GLIPR1,CRISP7|GLIPR|RTVP1,HGNC:17001|MIM:602692|Ensembl:ENSG00000139278|HPRD:04071|Vega:OTTHUMG00000169757,GLI pathogenesis-related 1,protein-coding,"GLI pathogenesis-related 1 (glioma)|gliPR 1|glioma pathogenesis-related protein 1|protein RTVP-1|related to testis-specific, vespid, and pathogenesis proteins 1|testes-specific vespid and pathogenesis protein 1"
3,43600000,51400000,3p21.3,CYB561D2,101F6|TSP10,HGNC:30253|MIM:607068|Ensembl:ENSG00000114395|HPRD:06143|Vega:OTTHUMG00000156813,cytochrome b-561 domain containing 2,protein-coding,cytochrome b561 domain-containing protein 2|putative tumor suppressor 101F6|putative tumor suppressor protein 101F6
1,69500000,84700000,1p31.1,DNAJB4,DNAJW|DjB4|HLJ1,HGNC:14886|MIM:611327|Ensembl:ENSG00000162616|HPRD:07486|Vega:OTTHUMG00000040905,"DnaJ (Hsp40) homolog, subfamily B, member 4",protein-coding,DnaJ-like heat shock protein 40|HSP40 homolog|dnaJ homolog subfamily B member 4|heat shock 40 kDa protein 1 homolog|heat shock protein 40 homolog|human liver DnaJ-like protein
20,57900000,62435964,20q13.33,DIDO1,BYE1|C20orf158|DATF-1|DATF1|DIDO2|DIDO3|DIO-1|DIO1|dJ885L7.8,HGNC:2680|MIM:604140|Ensembl:ENSG00000101191|HPRD:10363|HPRD:12752|Vega:OTTHUMG00000032945,death inducer-obliterator 1,protein-coding,death-associated transcription factor 1|death-inducer obliterator 1
12,94800000,112800000,12q23-q24.1,PRDM4,PFM1,HGNC:9348|MIM:605780|Ensembl:ENSG00000110851|HPRD:10425|Vega:OTTHUMG00000169914,PR domain containing 4,protein-coding,PR domain zinc finger protein 4|PR domain-containing protein 4|PR-domain zinc-finger protein PFM1
11,123500000,127400000,11q24.2,CHEK1,CHK1,HGNC:1925|MIM:603078|Ensembl:ENSG00000149554|HPRD:04356|Vega:OTTHUMG00000165853,checkpoint kinase 1,protein-coding,"CHK1 checkpoint homolog|Checkpoint, S. pombe, homolog of, 1|cell cycle checkpoint kinase|checkpoint kinase-1|serine/threonine-protein kinase Chk1"
11,61400000,63100000,11q12.3,PLA2G16,AdPLA|H-REV107-1|HRASLS3|HREV107|HREV107-1|HREV107-3|HRSL3,HGNC:17825|MIM:613867|Ensembl:ENSG00000176485|HPRD:13671|Vega:OTTHUMG00000167852,"phospholipase A2, group XVI",protein-coding,Ca-independent phospholipase A1/2|H-rev 107 protein homolog|HRAS-like suppressor 1|HRAS-like suppressor 3|adipose-specific PLA2|adipose-specific phospholipase A2|group XVI phospholipase A2|renal carcinoma antigen NY-REN-65
8,12700000,19100000,8p22,LZTS1,F37|FEZ1,HGNC:13861|MIM:606551|Ensembl:ENSG00000061337|HPRD:05945|Vega:OTTHUMG00000097027,"leucine zipper, putative tumor suppressor 1",protein-coding,F37/Esophageal cancer-related gene-coding leucine-zipper motif|leucine zipper putative tumor suppressor 1
19,37100000,63811651,19q13.1-q13.4,MAP4K1,HPK1,HGNC:6863|MIM:601983|Ensembl:ENSG00000104814|HPRD:03583,mitogen-activated protein kinase kinase kinase kinase 1,protein-coding,MAPK/ERK kinase kinase kinase 1|MEK kinase kinase 1|MEKKK 1|hematopoietic progenitor kinase 1
3,43600000,51400000,3p21.3,RASSF1,123F2|NORE2A|RASSF1A|RDA32|REH3P21,HGNC:9882|MIM:605082|Ensembl:ENSG00000068028|HPRD:05470|Vega:OTTHUMG00000149958,Ras association (RalGDS/AF-6) domain family member 1,protein-coding,WUGSC:H_LUCA12.5|cardiac-specific ras association domain family 1 protein|pancreas-specific ras association domain family 1 protein|ras association domain-containing protein 1|tumor suppressor protein RDA32
12,63400000,66000000,12q14.3,WIF1,WIF-1,HGNC:18081|MIM:605186|Ensembl:ENSG00000156076|HPRD:05541|Vega:OTTHUMG00000168832,WNT inhibitory factor 1,protein-coding,wnt inhibitory factor 1
22,11800000,24300000,22q11|22q12.1,CHEK2,CDS1|CHK2|HuCds1|LFS2|PP1425|RAD53|hCds1,HGNC:16627|MIM:604373|Ensembl:ENSG00000183765|HPRD:05084|Vega:OTTHUMG00000151023,checkpoint kinase 2,protein-coding,CHK2 checkpoint homolog|cds1 homolog|checkpoint-like protein CHK2|protein kinase CHK2|serine/threonine-protein kinase Chk2
12,14800000,19900000,12p12.3,RASSF8,C12orf2|HOJ1,HGNC:13232|MIM:608231|Ensembl:ENSG00000123094|HPRD:07084|Vega:OTTHUMG00000169087,Ras association (RalGDS/AF-6) domain family (N-terminal) member 8,protein-coding,carcinoma-associated protein HOJ-1|ras association domain-containing protein 8
14,31800000,34100000,14q13.1,EGLN3,HIFPH3|PHD3,HGNC:14661|MIM:606426|Ensembl:ENSG00000129521|HPRD:06972|Vega:OTTHUMG00000029498,egl nine homolog 3 (C. elegans),protein-coding,HIF prolyl hydroxylase 3|HIF-PH3|HIF-prolyl hydroxylase 3|HPH-1|HPH-3|egl nine homolog 3|egl nine-like protein 3 isoform|hypoxia-inducible factor prolyl hydroxylase 3|prolyl hydroxylase domain-containing protein 3
11,2800000,10700000,11p15.4,PRKCDBP,CAVIN3|HSRBC|SRBC|cavin-3,HGNC:9400|Ensembl:ENSG00000170955|HPRD:17908|Vega:OTTHUMG00000133378,"protein kinase C, delta binding protein",protein-coding,protein kinase C delta-binding protein|sdr-related gene product that binds to c-kinase|serum deprivation response factor-related gene product that binds to C-kinase
7,37500000,43300000,7p14.1,POU6F2,RPF-1|WT5|WTSL,HGNC:21694|MIM:609062|Ensembl:ENSG00000106536|HPRD:10162|Vega:OTTHUMG00000150803,POU class 6 homeobox 2,protein-coding,"POU domain, class 6, transcription factor 2|Wilms tumor suppressor locus|retina-derived POU domain factor 1|retina-derived POU-domain factor-1"
1,7100000,9200000,1p36.23,PARK7,DJ-1|DJ1,HGNC:16369|MIM:602533|Ensembl:ENSG00000116288|HPRD:03961|Vega:OTTHUMG00000001210,parkinson protein 7,protein-coding,"Parkinson disease (autosomal recessive, early onset) 7|Parkinson disease protein 7|oncogene DJ1|protein DJ-1"
3,43600000,51400000,3p21.3,TUSC2,C3orf11|FUS1|PAP|PDAP2,HGNC:17034|MIM:607052|Ensembl:ENSG00000114383|HPRD:06134|Vega:OTTHUMG00000156877,tumor suppressor candidate 2,protein-coding,PDGFA associated protein 2|PDGFA-associated protein 2|fus-1 protein|fusion 1 protein
17,6800000,11200000,17p13.1,GABARAP,ATG8A|MM46,HGNC:4067|MIM:605125|Ensembl:ENSG00000170296|HPRD:05496|Vega:OTTHUMG00000102156,GABA(A) receptor-associated protein,protein-coding,gamma-aminobutyric acid receptor-associated protein
10,98000000,119100000,10q24-q25,CHUK,IKBKA|IKK-alpha|IKK1|IKKA|NFKBIKA|TCF16,HGNC:1974|MIM:600664|Ensembl:ENSG00000213341|HPRD:02811|Vega:OTTHUMG00000018899,conserved helix-loop-helix ubiquitous kinase,protein-coding,I-kappa-B kinase 1|I-kappa-B kinase-alpha|IKK-a kinase|IkB kinase alpha subunit|Nuclear factor NFkappaB inhibitor kinase alpha|TCF-16|inhibitor of nuclear factor kappa-B kinase subunit alpha|transcription factor 16
17,68400000,78774742,17q25,CYGB,HGB|STAP,HGNC:16505|MIM:608759|Ensembl:ENSG00000161544|HPRD:06479,cytoglobin,protein-coding,histoglobin|stellate cell activation-associated protein
17,0,3600000,17p13.3,SMYD4,ZMYND21,HGNC:21067|Ensembl:ENSG00000186532|HPRD:18079|Vega:OTTHUMG00000090570,SET and MYND domain containing 4,protein-coding,SET and MYND domain-containing protein 4
8,122500000,127300000,8q24.13,FBXO32,Fbx32|MAFbx,HGNC:16731|MIM:606604|Ensembl:ENSG00000156804|HPRD:05966|Vega:OTTHUMG00000164981,F-box protein 32,protein-coding,F-box only protein 32|atrogin 1|atrogin-1|muscle atrophy F-box protein
9,4600000,9000000,9p24.1,UHRF2,NIRF|RNF107|URF2,HGNC:12557|Ensembl:ENSG00000147854|HPRD:18257|Vega:OTTHUMG00000019521,ubiquitin-like with PHD and ring finger domains 2,protein-coding,"E3 ubiquitin-protein ligase UHRF2|Np95-like ring finger protein|RING finger protein 107|np95/ICBP90-like RING finger protein|nuclear protein 97|nuclear zinc finger protein NP97|ubiquitin-like PHD and RING finger domain-containing protein 2|ubiquitin-like, containing PHD and RING finger domains, 2|ubiquitin-like-containing PHD and RING finger domains protein 2"
13,46200000,48900000,13q14.2,ARL11,ARLTS1,HGNC:24046|MIM:609351|Ensembl:ENSG00000152213|HPRD:12484|Vega:OTTHUMG00000016919,ADP-ribosylation factor-like 11,protein-coding,ADP-ribosylation factor-like protein 11|ADP-ribosylation factor-like tumor suppressor protein 1
3,14700000,30800000,3p24,LRRC3B,LRP15,HGNC:28105|Ensembl:ENSG00000179796|HPRD:14318|Vega:OTTHUMG00000130572,leucine rich repeat containing 3B,protein-coding,leucine-rich repeat protein LRP15|leucine-rich repeat-containing protein 3B
14,19100000,23600000,14q11.2,CMTM5,CKLFSF5,HGNC:19176|MIM:607888|Ensembl:ENSG00000166091|HPRD:06986|Vega:OTTHUMG00000028751,CKLF-like MARVEL transmembrane domain containing 5,protein-coding,CKLF-like MARVEL transmembrane domain-containing protein 5|chemokine-like factor super family 5|chemokine-like factor superfamily member 5
